route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_code
1928,1,36ES,FEVZİ ÇAKMAK MAHALLESİ - AKSARAY RİNG,3,FEVZİ ÇAKMAK MAHALLESİNDEN BAŞLAR.,36ES_G_D5069
1929,1,36ES,SULTANGAZİ PERONLAR - AKSARAY RİNG,3,,36ES_G_D5259
1930,1,36ES,SULTANGAZİ PERONLAR - AKSARAY RİNG,3,,36ES_G_D5683
1938,1,36HT,CEBECİ PERONLAR - TANSU SOKAK,3,,36HT_D_D0
1939,1,36HT,MAHMUTBEY METRO - HARAÇÇI,3,MAHMUTBEY METRO-HARAÇÇI GÜZERGAHINDA HİZMET VERİR.,36HT_D_D5072
1940,1,36HT,CEBECİ PERONLAR - TANSU SOKAK,3,,36HT_D_D5710
1941,1,36HT,TANSU SOKAK - CEBECİ PERONLAR,3,,36HT_G_D0
1942,1,36HT,TAŞOLUK YEŞİL CAMİ - MAHMUTBEY METRO,3,,36HT_G_D5585
1943,1,36HT,TANSU SOKAK - CEBECİ PERONLAR,3,,36HT_G_D5709
1944,1,36HT,TAŞOLUK YEŞİL CAMİ - MAHMUTBEY METRO,3,TAŞOLUK YEŞİL CAMİ - MAHMUTBEY GÜZERGAHINDA HİZMET VERİR.,36HT_G_D7052
1945,1,36KE,EMİNÖNÜ - YENİ MAHALLE METRO,3,,36KE_D_D0
1946,1,36KE,EMİNÖNÜ - MASALPARK,3,CUMHURİYET MAHALLESİ-MASAL PARK GÜZERGAHINDA HİZMET VERİR.,36KE_D_D4337
1947,1,36KE,YENİ MAHALLE METRO - EMİNÖNÜ,3,,36KE_G_D0
1948,1,36KE,MASALPARK - EMİNÖNÜ,3,CUMHURİYET MAHALLESİ-MASAL PARK GÜZERGAHINDA HİZMET VERİR.,36KE_G_D4053
1949,1,36L,BEŞİKTAŞ PERONLAR - MESCİD - İ SELAM,3,,36L_D_D0
1950,1,36L,BEŞİKTAŞ PERONLAR - MESCİD - İ SELAM,3,,36L_D_D5595
1956,1,36L,MESCİD-İ SELAM - HAYIRLIOĞLU CAMİİ,3,,36L_G_D5343
